"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.212,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.379,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,0.675,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,1.081,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.613,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,2.149,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,4.641,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,7.604,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,9.26,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,11.16,,
"AUS","Australia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,11.441,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,1.373,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,1.824,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,2.53,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,4.344,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,7.413,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,11.902,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,16.401,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,18.771,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,22.738,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,26.365,,
"AUT","Austria","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,30.267,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.115,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.19,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,0.35,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,0.588,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,0.928,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,1.358,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,1.813,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,2.655,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,3.414,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,4.098,,
"BEL","Belgium","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,5.907,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,1.357,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.541,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,1.999,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,2.463,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,2.929,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,3.525,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,4.868,,
"CAN","Canada","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,5.857,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,0.383,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,0.611,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.054,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,1.778,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,3.39,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,1.821,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,3.17,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,4.697,,
"CZE","Czechia","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,7.191,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.692,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,1.049,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.666,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,2.824,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,4.557,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,6.035,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,7.448,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,9.566,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,13.045,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,16.082,,
"DNK","Denmark","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,19.029,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,2.006,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,2.531,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,3.739,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,6.675,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,10.891,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,15.583,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,19.633,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,23.48,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,30.233,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,35.824,,
"FIN","Finland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,40.07,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.268,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.382,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,0.654,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,1.034,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.768,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,3.617,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,5.627,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,7.64,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,9.973,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,11.691,,
"FRA","France","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,14.5,,
"DEU","Germany","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.428,,
"DEU","Germany","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.586,,
"DEU","Germany","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,0.697,,
"DEU","Germany","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,0.884,,
"DEU","Germany","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.282,,
"DEU","Germany","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,1.842,,
